date_updated,state,start_date,end_date,tot_cases,new_cases,tot_deaths,new_deaths,new_historic_cases,new_historic_deaths
04/13/2023,TN,04/06/2023,04/12/2023,2534071,2780,29468,24,0,0
04/13/2023,TX,04/06/2023,04/12/2023,8477410,8321,93545,64,0,0
04/13/2023,UT,04/06/2023,04/12/2023,1095162,810,5334,12,0,0
04/13/2023,VA,04/06/2023,04/12/2023,2304034,2192,23706,8,0,0
04/13/2023,VI,04/06/2023,04/12/2023,24898,12,130,0,0,0
04/13/2023,VT,04/06/2023,04/12/2023,153765,143,948,2,0,0
04/13/2023,WA,04/06/2023,04/12/2023,1949725,2429,16013,52,0,0
04/13/2023,WI,04/06/2023,04/12/2023,2023781,2694,16502,31,0,0
04/13/2023,WV,04/06/2023,04/12/2023,648849,968,8083,16,0,0
04/13/2023,WY,04/06/2023,04/12/2023,186284,158,2023,3,0,0
04/06/2023,AK,03/30/2023,04/05/2023,296202,401,1468,0,0,0
04/06/2023,AL,03/30/2023,04/05/2023,1652469,2020,21131,4,0,0
04/06/2023,AR,03/30/2023,04/05/2023,991010,918,13074,20,0,0
04/06/2023,AS,03/30/2023,04/05/2023,8326,2,34,0,0,0
04/06/2023,AZ,03/30/2023,04/05/2023,2457251,2931,33258,33,0,0
04/06/2023,CA,03/30/2023,04/05/2023,12194519,13325,101310,118,0,0
04/06/2023,CO,03/30/2023,04/05/2023,1775985,1925,14290,32,0,0
04/06/2023,CT,03/30/2023,04/05/2023,979879,712,12292,20,0,0
04/06/2023,DC,03/30/2023,04/05/2023,178502,140,1433,1,0,0
04/06/2023,DE,03/30/2023,04/05/2023,333113,232,3387,4,0,0
04/06/2023,FL,03/30/2023,04/05/2023,7534987,9371,87139,0,0,0
04/06/2023,FSM,03/30/2023,04/05/2023,25705,2,64,1,0,0
04/06/2023,GA,03/30/2023,04/05/2023,3078480,2243,42652,47,0,0
04/06/2023,GU,03/30/2023,04/05/2023,61183,35,415,0,0,0
04/06/2023,HI,03/30/2023,04/05/2023,370188,1008,1829,6,0,0
04/06/2023,IA,03/30/2023,04/05/2023,908936,0,10797,0,0,0
04/06/2023,ID,03/30/2023,04/05/2023,524068,608,5459,7,0,0
04/06/2023,IL,03/30/2023,04/05/2023,4116279,7284,41757,60,0,0
04/06/2023,IN,03/30/2023,04/05/2023,2063114,2684,26307,45,0,0
04/06/2023,KS,03/30/2023,04/05/2023,942750,1006,10154,19,0,0
04/06/2023,KY,03/30/2023,04/05/2023,1735800,2217,18349,57,0,0
04/06/2023,LA,03/30/2023,04/05/2023,1590877,2618,18874,16,0,0
04/06/2023,MA,03/30/2023,04/05/2023,2234951,2294,24541,34,0,0
04/06/2023,MD,03/30/2023,04/05/2023,1373082,1741,16652,23,0,0
04/06/2023,ME,03/30/2023,04/05/2023,321246,568,2979,7,0,0
04/06/2023,MI,03/30/2023,04/05/2023,3089377,5263,42522,69,0,0
04/06/2023,MN,03/30/2023,04/05/2023,1788628,1937,14623,39,0,0
04/06/2023,MO,03/30/2023,04/05/2023,1780940,3046,22759,25,0,0
04/06/2023,MP,03/30/2023,04/05/2023,13795,8,43,0,0,0
04/06/2023,MS,03/30/2023,04/05/2023,995603,1290,13419,0,0,0
04/06/2023,MT,03/30/2023,04/05/2023,332413,506,3700,2,0,0
04/06/2023,NC,03/30/2023,04/05/2023,3489135,3484,28919,379,0,0
04/06/2023,ND,03/30/2023,04/05/2023,289329,726,2496,4,0,0
04/06/2023,NE,03/30/2023,04/05/2023,572612,1010,5031,17,0,0
04/06/2023,NH,03/30/2023,04/05/2023,380401,403,3027,9,0,0
04/06/2023,NJ,03/30/2023,04/05/2023,3063929,3144,36080,10,0,0
04/06/2023,NM,03/30/2023,04/05/2023,675945,1270,9132,26,0,0
04/06/2023,NV,03/30/2023,04/05/2023,894792,956,11973,16,0,0
04/06/2023,NY,03/30/2023,04/05/2023,3560529,3582,32158,51,0,0
04/06/2023,NYC,03/30/2023,04/05/2023,3256045,1148,45143,9,0,0
04/06/2023,OH,03/30/2023,04/05/2023,3421608,6354,41965,48,0,0
04/06/2023,OK,03/30/2023,04/05/2023,1298508,4716,15909,64,0,0
04/06/2023,OR,03/30/2023,04/05/2023,970148,1359,9479,9,0,0
04/06/2023,PA,03/30/2023,04/05/2023,3547967,4044,50780,67,0,0
04/06/2023,PR,03/30/2023,04/05/2023,1109596,1868,5864,9,0,0
04/06/2023,PW,03/30/2023,04/05/2023,5997,0,9,0,0,0
04/06/2023,RI,03/30/2023,04/05/2023,440417,328,3901,7,0,0
04/06/2023,RMI,03/30/2023,04/05/2023,16013,290,17,0,0,0
04/06/2023,SC,03/30/2023,04/05/2023,1844314,1795,19744,61,0,0
04/06/2023,SD,03/30/2023,04/05/2023,281443,435,3214,5,0,0
